ano_mes,empresa,setor_rh,headcount
2020-01,CENTRO DE ENSINO,Operacional,3
2020-02,CENTRO DE ENSINO,Operacional,3
2020-03,CENTRO DE ENSINO,Operacional,3
2020-04,CENTRO DE ENSINO,Operacional,3
2020-05,CENTRO DE ENSINO,Operacional,3
2020-06,CENTRO DE ENSINO,Operacional,3
2020-07,CENTRO DE ENSINO,Operacional,3
2020-08,CENTRO DE ENSINO,Operacional,3
2020-09,CENTRO DE ENSINO,Operacional,3
2020-10,CENTRO DE ENSINO,Operacional,3
2020-11,CENTRO DE ENSINO,Operacional,3
2020-12,CENTRO DE ENSINO,Operacional,3
2021-01,CENTRO DE ENSINO,Operacional,3
2021-02,CENTRO DE ENSINO,Operacional,4
2021-03,CENTRO DE ENSINO,Operacional,4
2021-04,CENTRO DE ENSINO,Operacional,5
2021-05,CENTRO DE ENSINO,Operacional,5
2021-06,CENTRO DE ENSINO,Operacional,5
2021-07,CENTRO DE ENSINO,Operacional,5
2021-08,CENTRO DE ENSINO,Operacional,5
2021-09,CENTRO DE ENSINO,Operacional,5
2021-10,CENTRO DE ENSINO,Operacional,5
2021-11,CENTRO DE ENSINO,Operacional,7
2021-12,CENTRO DE ENSINO,Operacional,7
2022-01,CENTRO DE ENSINO,Operacional,7
2022-02,CENTRO DE ENSINO,Operacional,10
2022-03,CENTRO DE ENSINO,Operacional,11
2022-04,CENTRO DE ENSINO,Operacional,13
2022-05,CENTRO DE ENSINO,Operacional,14
2022-06,CENTRO DE ENSINO,Operacional,13
2022-07,CENTRO DE ENSINO,Operacional,12
2022-08,CENTRO DE ENSINO,Operacional,11
2022-09,CENTRO DE ENSINO,Operacional,12
2022-10,CENTRO DE ENSINO,Operacional,12
2022-11,CENTRO DE ENSINO,Operacional,12
2022-12,CENTRO DE ENSINO,Operacional,11
2023-01,CENTRO DE ENSINO,Operacional,11
2023-02,CENTRO DE ENSINO,Operacional,13
2023-03,CENTRO DE ENSINO,Operacional,13
2023-04,CENTRO DE ENSINO,Operacional,15
2023-05,CENTRO DE ENSINO,Operacional,14
2023-06,CENTRO DE ENSINO,Operacional,14
2023-07,CENTRO DE ENSINO,Operacional,14
2023-08,CENTRO DE ENSINO,Operacional,12
2023-09,CENTRO DE ENSINO,Operacional,13
2023-10,CENTRO DE ENSINO,Operacional,12
2023-11,CENTRO DE ENSINO,Operacional,12
2023-12,CENTRO DE ENSINO,Operacional,11
2024-01,CENTRO DE ENSINO,Operacional,12
2024-02,CENTRO DE ENSINO,Operacional,14
2024-03,CENTRO DE ENSINO,Operacional,14
2024-04,CENTRO DE ENSINO,Operacional,12
2024-05,CENTRO DE ENSINO,Operacional,12
2024-06,CENTRO DE ENSINO,Operacional,11
2024-07,CENTRO DE ENSINO,Operacional,11
2024-08,CENTRO DE ENSINO,Operacional,9
2024-09,CENTRO DE ENSINO,Operacional,11
2024-10,CENTRO DE ENSINO,Operacional,11
2024-11,CENTRO DE ENSINO,Operacional,11
2024-12,CENTRO DE ENSINO,Operacional,9
2025-01,CENTRO DE ENSINO,Operacional,8
2025-02,CENTRO DE ENSINO,Operacional,9
2025-03,CENTRO DE ENSINO,Operacional,9
2025-04,CENTRO DE ENSINO,Operacional,9
2025-05,CENTRO DE ENSINO,Operacional,8
2025-06,CENTRO DE ENSINO,Operacional,8
2025-07,CENTRO DE ENSINO,Operacional,7
2025-08,CENTRO DE ENSINO,Operacional,7
2025-09,CENTRO DE ENSINO,Operacional,7
2025-10,CENTRO DE ENSINO,Operacional,7
2025-11,CENTRO DE ENSINO,Operacional,7
2025-12,CENTRO DE ENSINO,Operacional,7
2026-01,CENTRO DE ENSINO,Operacional,6
2026-02,CENTRO DE ENSINO,Operacional,9
2019-01,CENTRO ELO,Administrativo,1
2019-02,CENTRO ELO,Administrativo,2
2019-03,CENTRO ELO,Administrativo,4
